Year,Presidential Documents,Rules,Proposed Rules,Notices,Unknowns,Corrections*,Skips/Blanks,TOTAL**,ACTUAL***
1986, 357 ," 13,904 "," 11,816 "," 18,703 ",, 32 ," 2,606 "," 47,418 ","                   44,812 "
1987, 426 ," 13,625 "," 14,181 "," 18,562 ",, 239 ," 2,621 "," 49,654 ","                   47,033 "
1988, 768 ," 16,042 "," 13,883 "," 19,672 ",, 251 ," 2,760 "," 53,376 ","                   50,616 "
1989, 410 ," 16,489 "," 13,220 "," 20,142 ",, 240 ," 3,341 "," 53,842 ","                   50,501 "
1990, 491 ," 14,179 "," 12,692 "," 22,202 ",, 231 ," 3,825 "," 53,620 ","                   49,795 "
1991, 667 ," 16,792 "," 16,761 "," 23,535 ",, 218 ," 9,743 "," 67,716 ","                   57,973 "
1992, 551 ," 15,921 "," 15,156 "," 25,103 ",, 272 ," 5,925 "," 62,928 ","                   57,003 "
1993, 973 ," 18,016 "," 15,410 "," 26,551 ",, 216 ," 8,522 "," 69,688 ","                   61,166 "
1994, 485 ," 20,385 "," 18,183 "," 25,707 ",, 154 ," 3,194 "," 68,108 ","                   64,914 "
1995," 1,301 "," 18,047 "," 15,982 "," 27,126 ",, 189 ," 4,873 "," 67,518 ","                   62,645 "
1996, 445 ," 21,622 "," 15,369 "," 27,029 ",, 126 ," 4,777 "," 69,368 ","                   64,591 "
1997, 414 ," 18,984 "," 15,309 "," 29,679 ",, 163 ," 3,981 "," 68,530 ","                   64,549 "
1998, 399 ," 20,029 "," 18,256 "," 29,732 ",, 155 ," 3,785 "," 72,356 ","                   68,571 "
1999, 414 ," 20,201 "," 19,447 "," 30,947 ",, 152 ," 2,719 "," 73,880 ","                   71,161 "
2000,606,24423,14698,31093,178.0,151,6070,77219,71149
2001,1172,19651,11461,28963,5.0,121,1311,62684,61373
2002,546,19236,15518,36934,2.0,176,1470,73882,72412
2003,577,22669,14136,30164,1.0,166,2464,70177,67713
2004,614,22755,16110,32584,87.0,130,1790,74070,72280
2005,548,23043,15063,31644,2.0,121,3760,74181,70421
2006,540,22335,16666,32168,79.0,126,1209,73123,71914
2007,669,22796,16646,30036,25.0,90,1221,71483,70262
2008,654,26327,18058,33873,0.0,53,1083,80048,78965
2009,703,20844,16194,30564,428.0,-,944,69677,68733
2010,720,24861,21623,34041,264.0,-,1077,82586,81509
2011,623,26203,23102,31429,3.0,-,1061,82421,81360
2012,708,24628,20170,30779,0.0,-,965,77250,76285
2013,752,26412,20627,31653,0.0,-,1015,80459,79444
2014,702,25186,20723,31473,0.0,-,981,79065,78084
2015,749,25125,22736,32354,0.0,-,1072,82036,80964
2016,1023,38639,21455,34796,0.0,-,1961,97874,95913
2017,845,18869,10704,30896,0.0,-,636,61950,61314
2018,1258,18214,17224,30545,0.0,-,843,68084,67241
2019,804,20857,19365,30700,0.0,-,840,72566,71726
2020,987,32220,19984,33162,4.0,-,993,87350,86357
2021,1135,23634,16392,32610,0.0,-,761,74532,73771
2022,885,21750,23791,33430,0.0,-,901,80757,79856
2023,1043,26286,28892,33147,0.0,-,1034,90402,89368
2024,855,45028,19952,40274,0.0,-,1153,107262,106109
"* Beginning Jan. 1, 2009, Correction documents were published within the document category of the document being corrected.",,,,,,,,,
"** The first Federal Register was issued on March 14, 1936.  The 1989 total includes twenty pages more than the last page of December 29, 1989 due to pp 16438-A through 16438-T in the issue of April 24, 1989.  The 1990 total includes two pages more than the last page of December 31, 1990 due to pp 30192-1 through 30192-2 (blank) in the issue of July 25, 1990.  The 1992 total includes eight pages more than the last page of December 31, 1992 due to pp 62808-a through 62808-h in the issue of December 31, 1992.  The 2002 total includes 6,653 pages devoted to a single document (at 67 FR 23653-30305) in the issue of May 3, 2002",,,,,,,,,
*** Total minus Skips,,,,,,,,,
